GO:0000001	mitochondrion inheritance
GO:0001986	negative regulation of the force of heart contraction during baroreceptor response to increased systemic arterial blood pressure
GO:0001988	positive regulation of heart rate in baroreceptor response to decreased systemic arterial blood pressure
GO:0001989	positive regulation of the force of heart contraction during baroreceptor response to decreased systemic arterial blood pressure
GO:0001990	regulation of systemic arterial blood pressure by hormone
GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin
GO:0001992	regulation of systemic arterial blood pressure by vasopressin
GO:0001993	regulation of systemic arterial blood pressure by norepinephrine-epinephrine
GO:0001994	norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure
GO:0001995	norepinephrine-epinephrine catabolic process in blood stream
GO:0001996	positive regulation of heart rate by epinephrine-norepinephrine
GO:0001997	positive regulation of the force of heart contraction by epinephrine-norepinephrine
GO:0001998	angiotensin mediated vasoconstriction involved in regulation of systemic arterial blood pressure
GO:0001999	renal response to blood flow during renin-angiotensin regulation of systemic arterial blood pressure
GO:0002001	renin secretion into blood stream
GO:0002002	regulation of angiotensin levels in blood
GO:0002004	secretion of vasopressin during fast regulation of systemic arterial blood pressure
GO:0002006	vasoconstriction by vasopressin involved in systemic arterial blood pressure control
GO:0002008	excitation of vasomotor center by chemoreceptor signaling
GO:0002010	excitation of vasomotor center by baroreceptor signaling
GO:0002015	regulation of systemic arterial blood pressure by atrial baroreceptor feedback
GO:0002016	regulation of blood volume by renin-angiotensin
GO:0002017	regulation of blood volume by renal aldosterone
GO:0002018	renin-angiotensin regulation of aldosterone production
GO:0002019	regulation of renal output by angiotensin
GO:0002025	vasodilation by norepinephrine-epinephrine involved in regulation of systemic arterial blood pressure
GO:0002026	regulation of the force of heart contraction
GO:0002027	regulation of heart rate
GO:0002028	regulation of sodium ion transport
GO:0002029	desensitization of G-protein coupled receptor protein signaling pathway
GO:0002032	desensitization of G-protein coupled receptor protein signaling pathway by arrestin
GO:0002034	regulation of blood vessel size by renin-angiotensin
GO:0002037	negative regulation of L-glutamate transport
GO:0002038	positive regulation of L-glutamate transport
GO:0002047	phenazine biosynthetic process
GO:0002048	pyoverdine metabolic process
GO:0002052	positive regulation of neuroblast proliferation
GO:0002053	positive regulation of mesenchymal cell proliferation
GO:0002055	adenine binding
GO:0002061	pyrimidine binding
GO:0002072	optic cup morphogenesis involved in camera-type eye development
GO:0002074	extraocular skeletal muscle development
GO:0002075	somitomeric trunk muscle development
GO:0002078	membrane fusion during acrosome reaction
GO:0002085	repression of premature neural plate formation
GO:0002088	lens development in camera-type eye
GO:0002089	lens morphogenesis in camera-type eye
GO:0002091	negative regulation of receptor internalization
GO:0002092	positive regulation of receptor internalization
GO:0002093	auditory receptor cell morphogenesis
GO:0002095	caveolar macromolecular signaling complex
GO:0002117	amphibian larval development
GO:0002119	nematode larval development
GO:0002165	instar larval or pupal development
GO:0002168	instar larval development
GO:0002204	somatic recombination of immunoglobulin genes during immune response
GO:0002205	somatic hypermutation of immunoglobulin genes during immune response
GO:0002206	gene conversion of immunoglobulin genes
GO:0002207	gene conversion of immunoglobulin genes during immune response
GO:0002208	somatic diversification of immunoglobulins during immune response
GO:0002209	behavioral defense response
GO:0002210	behavioral response to wounding
GO:0002211	behavioral defense response to insect
GO:0002212	behavioral defense response to nematode
GO:0002213	defense response to insect
GO:0002215	defense response to nematode
GO:0002218	activation of innate immune response
GO:0002220	innate immune response activating cell surface receptor signaling pathway
GO:0002221	pattern recognition receptor signaling pathway
GO:0002222	stimulatory killer cell immunoglobulin-like receptor signaling pathway
GO:0002223	stimulatory C-type lectin receptor signaling pathway
GO:0002224	toll-like receptor signaling pathway
GO:0002225	positive regulation of antimicrobial peptide production
GO:0002228	natural killer cell mediated immunity
GO:0002230	positive regulation of defense response to virus by host
GO:0002232	leukocyte chemotaxis during inflammatory response
GO:0002233	leukocyte chemotaxis during immune response
GO:0002234	detection of endoplasmic reticulum overloading
GO:0002237	response to molecule of bacterial origin
GO:0002238	response to molecule of fungal origin
GO:0002240	response to molecule of oomycetes origin
GO:0002248	connective tissue replacement during inflammatory response
GO:0002250	adaptive immune response
GO:0002251	organ or tissue specific immune response
GO:0002255	tissue kallikrein-kinin cascade
GO:0002257	negative regulation of kinin cascade
GO:0002258	positive regulation of kinin cascade
GO:0002269	leukocyte activation during inflammatory response
GO:0002274	myeloid leukocyte activation
GO:0002286	T cell activation during immune response
GO:0002287	alpha-beta T cell activation during immune response
GO:0002288	NK T cell activation during immune response
GO:0002289	NK T cell proliferation during immune response
GO:0002290	gamma-delta T cell activation during immune response
GO:0002291	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
GO:0002292	T cell differentiation during immune response
GO:0002293	alpha-beta T cell differentiation during immune response
GO:0002294	CD4-positive, alpha-beta T cell differentiation during immune response
GO:0002295	T-helper cell lineage commitment
GO:0002296	T-helper 1 cell lineage commitment
GO:0002297	T-helper 2 cell lineage commitment
GO:0002298	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation during immune response
GO:0002299	alpha-beta intraepithelial T cell differentiation
GO:0002300	CD8-positive, alpha-beta intraepithelial T cell differentiation
GO:0002301	CD4-positive, alpha-beta intraepithelial T cell differentiation
GO:0002302	CD8-positive, alpha-beta T cell differentiation during immune response
GO:0002303	gamma-delta T cell differentiation during immune response
GO:0002304	gamma-delta intraepithelial T cell differentiation
GO:0002305	CD8-positive, gamma-delta intraepithelial T cell differentiation
GO:0002306	CD4-positive gamma-delta intraepithelial T cell differentiation
GO:0002307	CD8-positive, alpha-beta regulatory T cell differentiation
GO:0002308	CD8-positive, alpha-beta cytotoxic T cell differentiation
GO:0002309	T cell proliferation during immune response
GO:0002310	alpha-beta T cell proliferation during immune response
GO:0002311	gamma-delta T cell proliferation during immune response
GO:0002312	B cell activation during immune response
GO:0002313	mature B cell differentiation during immune response
GO:0002314	germinal center B cell differentiation
GO:0002315	marginal zone B cell differentiation
GO:0002316	follicular B cell differentiation
GO:0002319	memory B cell differentiation
GO:0002322	B cell proliferation during immune response
GO:0002323	natural killer cell activation during immune response
GO:0002324	natural killer cell proliferation during immune response
GO:0002325	natural killer cell differentiation during immune response
GO:0002326	B cell lineage commitment
GO:0002327	immature B cell differentiation
GO:0002328	pro-B cell differentiation
GO:0002329	pre-B cell differentiation
GO:0002331	pre-B cell allelic exclusion
GO:0002332	transitional stage B cell differentiation
GO:0002333	transitional one stage B cell differentiation
GO:0002334	transitional two stage B cell differentiation
GO:0002335	mature B cell differentiation
GO:0002336	B-1 B cell lineage commitment
GO:0002337	B-1a B cell differentiation
GO:0002338	B-1b B cell differentiation
GO:0002339	B cell selection
GO:0002340	central B cell selection
GO:0002341	central B cell anergy
GO:0002342	central B cell deletion
GO:0002343	peripheral B cell selection
GO:0002344	B cell affinity maturation
GO:0002345	peripheral B cell receptor editing
GO:0002346	B cell positive selection
GO:0002348	central B cell positive selection
GO:0002350	peripheral B cell positive selection
GO:0002352	B cell negative selection
GO:0002354	central B cell negative selection
GO:0002356	peripheral B cell negative selection
GO:0002358	B cell homeostatic proliferation
GO:0002359	B-1 B cell proliferation
GO:0002360	T cell lineage commitment
GO:0002361	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation
GO:0002362	CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment
GO:0002363	alpha-beta T cell lineage commitment
GO:0002364	NK T cell lineage commitment
GO:0002365	gamma-delta T cell lineage commitment
GO:0002366	leukocyte activation during immune response
GO:0002368	B cell cytokine production
GO:0002369	T cell cytokine production
GO:0002370	natural killer cell cytokine production
GO:0002377	immunoglobulin production
GO:0002378	immunoglobulin biosynthetic process
GO:0002379	immunoglobulin biosynthetic process during immune response
GO:0002380	immunoglobulin secretion during immune response
GO:0002381	immunoglobulin production during immune response
GO:0002382	regulation of tissue kallikrein-kinin cascade
GO:0002386	immune response in mucosal-associated lymphoid tissue
GO:0002387	immune response in gut-associated lymphoid tissue
GO:0002394	tolerance induction in gut-associated lymphoid tissue
GO:0002395	immune response in nasopharyngeal-associated lymphoid tissue
GO:0002400	tolerance induction in nasopharyngeal-associated lymphoid tissue
GO:0002401	tolerance induction in mucosal-associated lymphoid tissue
GO:0002402	B cell tolerance induction in mucosal-associated lymphoid tissue
GO:0002403	T cell tolerance induction in mucosal-associated lymphoid tissue
GO:0002404	antigen sampling in mucosal-associated lymphoid tissue
GO:0002405	antigen sampling by dendritic cells in mucosal-associated lymphoid tissue
GO:0002406	antigen sampling by M cells in mucosal-associated lymphoid tissue
GO:0002412	antigen transcytosis by M cells in mucosal-associated lymphoid tissue
GO:0002415	immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor
GO:0002416	IgG immunoglobulin transcytosis in epithelial cells mediated by FcRn immunoglobulin receptor
GO:0002417	B cell antigen processing and presentation mediated by B cell receptor uptake of antigen
GO:0002419	T cell mediated cytotoxicity directed against tumor cell target
GO:0002420	natural killer cell mediated cytotoxicity directed against tumor cell target
GO:0002421	B cell antigen processing and presentation following pinocytosis
GO:0002426	immunoglobulin production in mucosal tissue
GO:0002428	antigen processing and presentation of peptide antigen via MHC class Ib
GO:0002429	immune response-activating cell surface receptor signaling pathway
GO:0002430	complement receptor mediated signaling pathway
GO:0002431	Fc receptor mediated stimulatory signaling pathway
GO:0002435	immune complex clearance by erythrocytes
GO:0002440	production of molecular mediator of immune response
GO:0002443	leukocyte mediated immunity
GO:0002444	myeloid leukocyte mediated immunity
GO:0002449	lymphocyte mediated immunity
GO:0002450	B cell antigen processing and presentation
GO:0002451	peripheral B cell tolerance induction
GO:0002452	B cell receptor editing
GO:0002453	peripheral B cell anergy
GO:0002454	peripheral B cell deletion
GO:0002455	humoral immune response mediated by circulating immunoglobulin
GO:0002456	T cell mediated immunity
GO:0002457	T cell antigen processing and presentation
GO:0002458	peripheral T cell tolerance induction
GO:0002459	adaptive immune response based on somatic recombination of immune receptors built from leucine-rich repeat domains
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
